,Prediction,Actual
0,0.9639971256256104,1.0
1,1.060826063156128,0.9889148191365227
2,1.045558214187622,0.9189031505250875
3,0.9249276518821716,0.9189031505250875
4,0.9228801131248474,0.8914819136522754
5,0.8916768431663513,0.9148191365227537
6,0.9152217507362366,0.9148191365227537
7,0.9223788976669312,0.8663943990665111
8,0.868528425693512,0.9043173862310385
9,0.904564380645752,0.9043173862310385
10,0.9043176174163818,0.9043173862310385
11,0.9043174982070923,0.9334889148191365
12,0.9334937930107117,0.9364060676779463
13,0.9364216923713684,0.880396732788798
14,0.8803967237472534,0.9603267211201867
15,0.9603267312049866,0.9603267211201867
16,0.9603267312049866,0.9603267211201867
17,0.9968234896659851,0.9784130688448074
18,1.0350245237350464,0.9101516919486581
19,0.9407229423522949,0.9317386231038507
20,0.9460579752922058,0.9317386231038507
21,0.9409903287887573,0.9317386231038507
22,1.0095174312591553,0.9743290548424737
23,1.0471259355545044,0.9684947491248542
24,1.0465964078903198,0.9743290548424737
25,1.0498480796813965,0.984830805134189
26,1.026642084121704,0.9539089848308052
